Transaction Date,Post Date,Description,Category,Type,Amount,Memo
1/1/2026,1/2/2026,Safeway,Groceries,Sale,-37.76,
1/2/2026,1/3/2026,Uber Eats,Dining,Sale,-38.19,
1/2/2026,1/3/2026,Target,Shopping,Sale,-28.31,
1/3/2026,1/4/2026,Uber Eats,Dining,Sale,-47.23,
1/3/2026,1/4/2026,Shell,Gas,Sale,-66.43,
1/9/2026,1/10/2026,Uber Eats,Dining,Sale,-23.07,
1/10/2026,1/11/2026,Shell,Gas,Sale,-43.21,
1/12/2026,1/13/2026,Payment Thank You,Payment,Payment,1224.24,
1/14/2026,1/15/2026,Uber Eats,Dining,Sale,-28.34,
1/14/2026,1/15/2026,Costco,Groceries,Sale,-233.91,
1/16/2026,1/17/2026,Safeway,Groceries,Sale,-34.59,
1/17/2026,1/18/2026,Safeway,Groceries,Sale,-53.53,
1/17/2026,1/18/2026,Shell,Gas,Sale,-49.47,
1/21/2026,1/22/2026,Safeway,Groceries,Sale,-34.62,
1/21/2026,1/22/2026,Home Depot,Shopping,Sale,-44.66,
1/23/2026,1/24/2026,Chevron,Gas,Sale,-71.90,
1/23/2026,1/24/2026,Costco,Groceries,Sale,-179.72,
1/24/2026,1/25/2026,Costco,Groceries,Sale,-129.24,
1/25/2026,1/26/2026,Home Depot,Shopping,Sale,-42.14,
1/26/2026,1/27/2026,Target,Shopping,Sale,-111.46,
1/26/2026,1/27/2026,Costco,Groceries,Sale,-211.19,
1/28/2026,1/29/2026,Target,Shopping,Sale,-66.67,
1/28/2026,1/29/2026,Home Depot,Shopping,Sale,-84.73,
2/2/2026,2/3/2026,Safeway,Groceries,Sale,-63.56,
2/6/2026,2/7/2026,Target,Shopping,Sale,-81.83,
2/8/2026,2/9/2026,Uber Eats,Dining,Sale,-23.38,
2/11/2026,2/12/2026,Costco,Groceries,Sale,-234.68,
2/12/2026,2/13/2026,Payment Thank You,Payment,Payment,553.97,
2/14/2026,2/15/2026,Costco,Groceries,Sale,-214.91,
2/14/2026,2/15/2026,Costco,Groceries,Sale,-110.90,
2/16/2026,2/17/2026,Home Depot,Shopping,Sale,-26.22,
2/19/2026,2/20/2026,Home Depot,Shopping,Sale,-14.45,
2/19/2026,2/20/2026,Uber Eats,Dining,Sale,-28.15,
2/22/2026,2/23/2026,Costco,Groceries,Sale,-162.79,
2/23/2026,2/24/2026,Costco,Groceries,Sale,-232.18,
2/23/2026,2/24/2026,Home Depot,Shopping,Sale,-47.01,
2/26/2026,2/27/2026,Shell,Gas,Sale,-52.77,
2/26/2026,2/27/2026,Costco,Groceries,Sale,-192.12,
2/28/2026,3/1/2026,Costco,Groceries,Sale,-237.81,
3/1/2026,3/2/2026,Home Depot,Shopping,Sale,-31.56,
3/1/2026,3/2/2026,Home Depot,Shopping,Sale,-91.05,
3/3/2026,3/4/2026,Costco,Groceries,Sale,-221.28,
3/5/2026,3/6/2026,Target,Shopping,Sale,-106.27,
3/5/2026,3/6/2026,Costco,Groceries,Sale,-182.37,
3/9/2026,3/10/2026,Uber Eats,Dining,Sale,-42.44,
3/9/2026,3/10/2026,Home Depot,Shopping,Sale,-99.39,
3/12/2026,3/13/2026,Chevron,Gas,Sale,-63.39,
3/12/2026,3/13/2026,Costco,Groceries,Sale,-240.19,
3/12/2026,3/13/2026,Payment Thank You,Payment,Payment,1160.37,
3/14/2026,3/15/2026,Uber Eats,Dining,Sale,-28.18,
3/15/2026,3/16/2026,Home Depot,Shopping,Sale,-23.82,
3/15/2026,3/16/2026,Target,Shopping,Sale,-73.48,
3/16/2026,3/17/2026,Safeway,Groceries,Sale,-92.36,
3/16/2026,3/17/2026,Chevron,Gas,Sale,-43.78,
3/17/2026,3/18/2026,Safeway,Groceries,Sale,-92.48,
3/17/2026,3/18/2026,Costco,Groceries,Sale,-228.66,
3/18/2026,3/19/2026,Uber Eats,Dining,Sale,-26.64,
3/18/2026,3/19/2026,Target,Shopping,Sale,-112.02,
3/20/2026,3/21/2026,Uber Eats,Dining,Sale,-36.58,
3/20/2026,3/21/2026,Shell,Gas,Sale,-57.34,
3/21/2026,3/22/2026,Uber Eats,Dining,Sale,-50.71,
3/21/2026,3/22/2026,Uber Eats,Dining,Sale,-26.50,
3/23/2026,3/24/2026,Home Depot,Shopping,Sale,-98.56,
3/23/2026,3/24/2026,Chevron,Gas,Sale,-50.97,
3/24/2026,3/25/2026,Uber Eats,Dining,Sale,-28.04,
3/24/2026,3/25/2026,Home Depot,Shopping,Sale,-129.19,
3/25/2026,3/26/2026,Safeway,Groceries,Sale,-98.07,
3/29/2026,3/30/2026,Chevron,Gas,Sale,-59.65,
3/29/2026,3/30/2026,Safeway,Groceries,Sale,-53.56,
4/2/2026,4/3/2026,Uber Eats,Dining,Sale,-39.98,
4/3/2026,4/4/2026,Shell,Gas,Sale,-62.44,
4/3/2026,4/4/2026,Uber Eats,Dining,Sale,-22.47,
4/5/2026,4/6/2026,Chevron,Gas,Sale,-44.83,
4/5/2026,4/6/2026,Home Depot,Shopping,Sale,-108.40,
4/10/2026,4/11/2026,Home Depot,Shopping,Sale,-65.65,
4/10/2026,4/11/2026,Home Depot,Shopping,Sale,-73.28,
4/11/2026,4/12/2026,Chevron,Gas,Sale,-63.64,
4/12/2026,4/13/2026,Home Depot,Shopping,Sale,-154.80,
4/12/2026,4/13/2026,Target,Shopping,Sale,-35.92,
4/12/2026,4/13/2026,Payment Thank You,Payment,Payment,794.57,
4/13/2026,4/14/2026,Costco,Groceries,Sale,-132.87,
4/15/2026,4/16/2026,Home Depot,Shopping,Sale,-125.75,
4/15/2026,4/16/2026,Target,Shopping,Sale,-38.30,
4/16/2026,4/17/2026,Safeway,Groceries,Sale,-110.58,
4/18/2026,4/19/2026,Target Refund,Refund,Return,53.01,
4/19/2026,4/20/2026,Uber Eats,Dining,Sale,-46.01,
4/21/2026,4/22/2026,Shell,Gas,Sale,-46.17,
4/21/2026,4/22/2026,Shell,Gas,Sale,-52.26,
4/22/2026,4/23/2026,Chevron,Gas,Sale,-68.17,
4/23/2026,4/24/2026,Target,Shopping,Sale,-112.50,
4/23/2026,4/24/2026,Uber Eats,Dining,Sale,-41.68,
5/1/2026,5/2/2026,Target Refund,Refund,Return,25.53,
5/2/2026,5/3/2026,Chevron,Gas,Sale,-53.08,
5/2/2026,5/3/2026,Chevron,Gas,Sale,-67.09,
5/3/2026,5/4/2026,Safeway,Groceries,Sale,-112.15,
5/3/2026,5/4/2026,Uber Eats,Dining,Sale,-30.19,
5/4/2026,5/5/2026,Shell,Gas,Sale,-76.11,
5/6/2026,5/7/2026,Uber Eats,Dining,Sale,-39.74,
5/8/2026,5/9/2026,Chevron,Gas,Sale,-71.62,
5/8/2026,5/9/2026,Home Depot,Shopping,Sale,-112.80,
5/9/2026,5/10/2026,Safeway,Groceries,Sale,-50.44,
5/11/2026,5/12/2026,Home Depot,Shopping,Sale,-171.59,
5/12/2026,5/13/2026,Chevron,Gas,Sale,-56.37,
5/12/2026,5/13/2026,Payment Thank You,Payment,Payment,1198.51,
5/13/2026,5/14/2026,Chevron,Gas,Sale,-38.51,
5/15/2026,5/16/2026,Shell,Gas,Sale,-47.45,
5/15/2026,5/16/2026,Shell,Gas,Sale,-45.69,
5/16/2026,5/17/2026,Uber Eats,Dining,Sale,-20.16,
5/17/2026,5/18/2026,Safeway,Groceries,Sale,-84.43,
5/17/2026,5/18/2026,Costco,Groceries,Sale,-156.68,
5/19/2026,5/20/2026,Costco,Groceries,Sale,-181.23,
5/19/2026,5/20/2026,Shell,Gas,Sale,-43.25,
5/20/2026,5/21/2026,Costco,Groceries,Sale,-188.75,
5/20/2026,5/21/2026,Costco,Groceries,Sale,-193.38,
5/21/2026,5/22/2026,Target,Shopping,Sale,-104.30,
5/22/2026,5/23/2026,Safeway,Groceries,Sale,-87.98,
5/22/2026,5/23/2026,Safeway,Groceries,Sale,-95.09,
5/23/2026,5/24/2026,Costco,Groceries,Sale,-156.98,
5/23/2026,5/24/2026,Costco,Groceries,Sale,-85.46,
5/29/2026,5/30/2026,Chevron,Gas,Sale,-52.07,
5/29/2026,5/30/2026,Home Depot,Shopping,Sale,-93.36,
5/30/2026,5/31/2026,Target,Shopping,Sale,-80.33,
6/1/2026,6/2/2026,Uber Eats,Dining,Sale,-49.38,
6/2/2026,6/3/2026,Shell,Gas,Sale,-56.98,
6/4/2026,6/5/2026,Safeway,Groceries,Sale,-36.40,
6/8/2026,6/9/2026,Home Depot,Shopping,Sale,-174.27,
6/8/2026,6/9/2026,Shell,Gas,Sale,-76.83,
6/10/2026,6/11/2026,Chevron,Gas,Sale,-60.33,
6/11/2026,6/12/2026,Target,Shopping,Sale,-135.59,
6/12/2026,6/13/2026,Safeway,Groceries,Sale,-51.35,
6/12/2026,6/13/2026,Costco,Groceries,Sale,-216.75,
6/12/2026,6/13/2026,Payment Thank You,Payment,Payment,1374.55,
6/16/2026,6/17/2026,Shell,Gas,Sale,-47.68,
6/16/2026,6/17/2026,Uber Eats,Dining,Sale,-43.92,
6/18/2026,6/19/2026,Home Depot,Shopping,Sale,-39.07,
6/20/2026,6/21/2026,Shell,Gas,Sale,-68.61,
6/21/2026,6/22/2026,Costco,Groceries,Sale,-128.00,
6/21/2026,6/22/2026,Target,Shopping,Sale,-65.14,
6/22/2026,6/23/2026,Shell,Gas,Sale,-46.76,
6/24/2026,6/25/2026,Target,Shopping,Sale,-82.49,
6/25/2026,6/26/2026,Costco,Groceries,Sale,-116.08,
6/25/2026,6/26/2026,Home Depot,Shopping,Sale,-103.66,
6/26/2026,6/27/2026,Target,Shopping,Sale,-113.52,
6/29/2026,6/30/2026,Costco,Groceries,Sale,-241.26,
6/30/2026,7/1/2026,Target,Shopping,Sale,-148.78,
7/3/2026,7/4/2026,Shell,Gas,Sale,-59.40,
